,track_name,weeks,max_rank,min_rank,avg_rank
Whiter Shade Of Pale,Whiter Shade Of Pale,4,95,82,88.25
Indian Reservation,Indian Reservation,31,126,1,33.58064516129032
No Charge,No Charge,19,103,39,79.10526315789474
You'll Lose A Good Thing,You'll Lose A Good Thing,23,96,8,43.130434782608695
"Hold Me, Thrill Me, Kiss Me","Hold Me, Thrill Me, Kiss Me",0,,,
You Always Hurt The One You Love,You Always Hurt The One You Love,36,124,1,26.88888888888889
"Get Down, Get Down","Get Down, Get Down",0,,,
Honey Honey,Honey Honey,27,100,27,67.77777777777777
Abilene,Abilene,15,108,15,49.666666666666664
Girl On The Billboard,Girl On The Billboard,13,133,96,110.53846153846153
Mr. Bass Man,Mr. Bass Man,13,99,16,44.46153846153846
Junk Food Junkie,Junk Food Junkie,16,109,9,38.1875
Tip-Toe Thru' The Tulips With Me,Tip-Toe Thru' The Tulips With Me,11,111,17,52.72727272727273
Alley-Oop,Alley-Oop,35,115,1,40.371428571428574
Ya Ya,Ya Ya,15,120,7,41.2
Take A Letter Maria,Take A Letter Maria,16,101,2,24.875
Rock And Roll Lullaby,Rock And Roll Lullaby,11,71,15,29.09090909090909
I Believe In Music,I Believe In Music,21,117,22,61.666666666666664
We've Got To Get It On Again,We've Got To Get It On Again,12,78,25,40.666666666666664
Turn Back The Hands Of Time,Turn Back The Hands Of Time,26,109,3,20.53846153846154
Hooked On A Feeling,Hooked On A Feeling,43,123,1,40.95348837209303
Traces,Traces,20,124,2,37.25
Grazing In The Grass,Grazing In The Grass,15,133,1,37.46666666666667
Jean,Jean,15,122,2,26.133333333333333
Masterpiece,Masterpiece,37,85,3,25.54054054054054
Rocket 2 U,Rocket 2 U,19,100,6,36.1578947368421
Undercover Angel,Undercover Angel,25,99,1,33.48
Precious And Few,Precious And Few,15,81,3,22.6
When I Die,When I Die,33,85,18,52.81818181818182
Motorcycle Mama,Motorcycle Mama,15,98,12,41.86666666666667
Chirpy Chirpy Cheep Cheep,Chirpy Chirpy Cheep Cheep,17,109,20,47.05882352941177
The Love I Lost,The Love I Lost,18,94,7,33.72222222222222
"Apples, Peaches, Pumpkin Pie","Apples, Peaches, Pumpkin Pie",0,,,
Bama Lama Bama Loo,Bama Lama Bama Loo,6,125,82,100.66666666666667
La La La,La La La,59,128,9,57.271186440677965
"Julie, Do Ya Love Me","Julie, Do Ya Love Me",0,,,
"Easy Come, Easy Go","Easy Come, Easy Go",0,,,
Jennifer,Jennifer,7,72,60,64.42857142857143
What Kind Of Fool,What Kind Of Fool,30,93,9,38.2
Touch A Four Leaf Clover,Touch A Four Leaf Clover,11,105,87,94.81818181818181
Love Crazy,Love Crazy,8,95,75,82.25
U.S. Of A,U.S. Of A,3,106,93,100.66666666666667
The Eyes Of A New York Woman,The Eyes Of A New York Woman,17,125,28,62.470588235294116
Drowning In The Sea Of Love,Drowning In The Sea Of Love,13,80,11,27.384615384615383
"Run, Baby Run","Run, Baby Run",0,,,
Mission Bell,Mission Bell,20,100,7,35.8
Boom Boom,Boom Boom,37,100,43,67.48648648648648
Mercedes Benz,Mercedes Benz,9,96,64,76.22222222222223
"Run Away Child, Running Wild","Run Away Child, Running Wild",0,,,
That's What You Get,That's What You Get,17,99,66,81.29411764705883
crushcrushcrush,crushcrushcrush,0,,,
End Of The Line,End Of The Line,9,95,63,76.22222222222223
"Girl, I ve Been Hurt","Girl, I ve Been Hurt",0,,,
I'm Coming Home,I'm Coming Home,50,114,18,68.66
"Living A Little, Laughing A Little","Living A Little, Laughing A Little",0,,,
The Rubberband Man,The Rubberband Man,21,84,2,23.428571428571427
You're Throwing A Good Love Away,You're Throwing A Good Love Away,7,84,43,63.285714285714285
"Working My Way Back To You/Forgive Me, Girl","Working My Way Back To You/Forgive Me, Girl",0,,,
Cupid/I've Loved You For A Long Time,Cupid/I've Loved You For A Long Time,0,,,
Funny How Time Slips Away,Funny How Time Slips Away,40,106,22,64.85
I Love My Baby,I Love My Baby,19,100,28,62.10526315789474
There's Gonna Be A Showdown,There's Gonna Be A Showdown,11,87,21,39.81818181818182
Girl You're Too Young,Girl You're Too Young,8,117,59,76.875
"""They Just Can't Stop It"" the","""They Just Can't Stop It"" the",0,,,
Good Ol  Days,Good Ol  Days,0,,,
ABC-123,ABC-123,17,99,46,70.76470588235294
If You Wanna Do A Dance,If You Wanna Do A Dance,6,82,49,65.83333333333333
Love Or Leave,Love Or Leave,8,77,36,50.25
Sadie,Sadie,7,88,54,66.85714285714286
It Can Happen,It Can Happen,7,99,51,69.57142857142857
You Light Up My Life,You Light Up My Life,49,96,1,37.36734693877551
"Baby, I'm Yours","Baby, I'm Yours",0,,,
God Knows,God Knows,0,,,
Sidewalk Surfin',Sidewalk Surfin',10,110,25,55.4
Dooley,Dooley,3,107,94,100.66666666666667
Shimmy Like Kate,Shimmy Like Kate,12,106,42,63.75
Peanut Butter,Peanut Butter,16,94,20,52.25
The Exodus Song,The Exodus Song,6,93,64,77.5
Talkin' To Me,Talkin' To Me,15,100,51,74.13333333333334
Life,Life,47,112,41,75.02127659574468
Thank You,Thank You,86,100,1,39.93023255813954
Hot Fun In The Summertime,Hot Fun In The Summertime,24,104,2,40.541666666666664
Falling Slowly,Falling Slowly,6,99,61,79.66666666666667
Love Finds It's Own Way,Love Finds It's Own Way,0,,,
On And On,On And On,39,123,11,60.82051282051282
Save The Overtime,Save The Overtime,12,108,66,85.83333333333333
Sweet Dreams,Sweet Dreams,136,126,1,37.99264705882353
Young Love,Young Love,81,126,1,43.58024691358025
Lonely Is The Night,Lonely Is The Night,8,96,76,84.0
Snake Eyes,Snake Eyes,5,93,67,78.8
Psychobabble,Psychobabble,10,100,57,69.5
You re Makin  Me High/Let It Flow,You re Makin  Me High/Let It Flow,0,,,
Another Sad Love Song,Another Sad Love Song,26,88,7,29.53846153846154
Letter To Me,Letter To Me,20,89,40,60.3
I'm Still A Guy,I'm Still A Guy,20,86,33,55.8
Online,Online,20,99,39,61.35
Here I Am,Here I Am,85,121,5,45.45882352941177
Things That Never Cross A Man's Mind,Things That Never Cross A Man's Mind,1,96,96,96.0
I Wonder,I Wonder,49,132,3,51.857142857142854
My Town,My Town,32,135,39,68.3125
He Can't Love You,He Can't Love You,16,97,33,55.4375
When I'm Holding You Tight,When I'm Holding You Tight,4,90,78,82.25
Take The Time,Take The Time,8,105,81,93.875
Peanuts,Peanuts,34,119,23,67.05882352941177
The Sundowners,The Sundowners,14,114,51,79.78571428571429
Da  Dip,Da  Dip,0,,,
Pay To The Piper,Pay To The Piper,13,78,13,34.92307692307692
My Fallen Angel,My Fallen Angel,11,97,54,69.63636363636364
What Goes Around Comes Around,What Goes Around Comes Around,20,96,47,64.55
El Trago,El Trago,6,99,86,92.66666666666667
Energy Crisis '74,Energy Crisis '74,8,89,33,52.0
Mr. Jaws,Mr. Jaws,10,66,4,29.3
The Touchables,The Touchables,7,83,60,69.71428571428571
Ben Crazy,Ben Crazy,6,80,44,60.0
Batman & His Grandmother,Batman & His Grandmother,0,,,
On Campus,On Campus,8,88,45,60.375
Luna Trip,Luna Trip,2,95,95,95.0
Tears From An Angel,Tears From An Angel,6,96,77,83.16666666666667
Island In The Sky,Island In The Sky,2,106,92,99.0
Yellow Bird,Yellow Bird,23,112,4,49.26086956521739
All I See Is Your Face,All I See Is Your Face,9,93,41,61.111111111111114
Let The Song Last Forever,Let The Song Last Forever,3,95,91,93.0
Sometimes When We Touch,Sometimes When We Touch,23,110,3,36.30434782608695
Cry Myself To Sleep,Cry Myself To Sleep,1,99,99,99.0
Turn The Beat Around,Turn The Beat Around,50,94,10,37.22
Reach,Reach,28,85,42,56.535714285714285
Anything For You,Anything For You,23,93,1,33.869565217391305
White Bird,White Bird,11,127,89,104.27272727272727
Land Of A Thousand Dances,Land Of A Thousand Dances,10,133,60,86.3
Only Love,Only Love,21,107,49,78.52380952380952
Susan,Susan,12,74,11,25.916666666666668
Mockingbird,Mockingbird,75,125,5,46.666666666666664
So Close,So Close,50,115,11,55.28
Where You Lead,Where You Lead,8,90,40,58.375
Mother,Mother,33,135,43,75.06060606060606
Loaded,Loaded,2,100,97,98.5
Whisper Your Name,Whisper Your Name,20,96,67,77.1
I Can Make It Better,I Can Make It Better,13,108,80,90.23076923076923
Second Honeymoon,Second Honeymoon,6,115,79,95.66666666666667
Stranger In Town,Stranger In Town,22,132,30,53.04545454545455
Holyanna,Holyanna,5,99,71,82.2
How Could You,How Could You,32,93,52,64.90625
Whip Appeal,Whip Appeal,18,92,6,39.94444444444444
Guerrilla Radio,Guerrilla Radio,20,98,69,87.35
Shook Ones Part II,Shook Ones Part II,0,,,
Any Way You Want It,Any Way You Want It,27,99,17,44.44444444444444
Nobody Else,Nobody Else,15,68,36,52.13333333333333
"Pop, Lock & Drop It","Pop, Lock & Drop It",0,,,
Still Crazy After All These Years,Still Crazy After All These Years,7,79,40,56.714285714285715
Leader Of The Pack,Leader Of The Pack,10,88,53,66.7
Listen To The Music,Listen To The Music,13,89,11,31.46153846153846
God Blessed Texas,God Blessed Texas,12,100,55,78.58333333333333
Casanova,Casanova,18,96,5,34.666666666666664
Seduced,Seduced,7,107,72,87.14285714285714
Sister Mary Elephant,Sister Mary Elephant,12,84,24,46.416666666666664
Or A Day At The Beach With Pedro & Man - Parts,Or A Day At The Beach With Pedro & Man - Parts,0,,,
You Were Only Fooling,You Were Only Fooling,24,100,9,31.291666666666668
I Can't Stop Dancing,I Can't Stop Dancing,10,78,9,28.5
Never Thought I'd Fall In Love,Never Thought I'd Fall In Love,2,95,95,95.0
Heaven On Earth,Heaven On Earth,18,99,40,72.72222222222223
Good Times,Good Times,87,126,1,56.67816091954023
Must Be Love,Must Be Love,11,100,54,75.36363636363636
Who You Are,Who You Are,0,,,
Soul Makossa,Soul Makossa,18,96,35,57.333333333333336
Old To The New,Old To The New,7,100,59,77.0
One Way Sunday,One Way Sunday,2,94,94,94.0
From A Jack To A King,From A Jack To A King,16,125,6,47.625
Teddy Bear Song,Teddy Bear Song,19,99,32,62.73684210526316
Ruben James,Ruben James,13,125,26,54.84615384615385
The Girl That Stood Beside Me,The Girl That Stood Beside Me,6,110,66,78.16666666666667
Love Is Life,Love Is Life,5,96,93,93.8
You're A Big Girl Now,You're A Big Girl Now,8,117,73,87.375
Let's Put It All Together,Let's Put It All Together,13,101,18,44.07692307692308
Heavy Fallin' Out,Heavy Fallin' Out,11,90,41,55.72727272727273
Thank You Baby,Thank You Baby,13,96,63,78.15384615384616
Can't Give You Anything,Can't Give You Anything,6,87,51,67.83333333333333
After The Lovin',After The Lovin',19,85,8,28.157894736842106
If You Were A Woman,If You Were A Woman,6,96,77,86.5
Goodbye To You,Goodbye To You,31,99,21,64.74193548387096
Beat Of A Heart,Beat Of A Heart,14,95,41,64.71428571428571
The Warrior,The Warrior,21,93,7,33.80952380952381
Hands Tied,Hands Tied,13,100,41,66.07692307692308
Make Believe,Make Believe,22,94,28,53.09090909090909
Waiting For Your Love,Waiting For Your Love,6,94,73,83.16666666666667
Without Your Love,Without Your Love,53,111,20,65.52830188679245
I'll Supply The Love,I'll Supply The Love,9,93,45,62.77777777777778
Dance To The Music,Dance To The Music,17,113,8,35.529411764705884
Working For The Weekend,Working For The Weekend,20,100,29,51.5
Ring The Alarm,Ring The Alarm,14,95,11,40.357142857142854
Love's Got A Line On You,Love's Got A Line On You,14,104,59,72.42857142857143
Can t Stop Falling Into Love,Can t Stop Falling Into Love,0,,,
Unusually Unusual,Unusually Unusual,5,98,66,79.2
My Front Porch Looking In,My Front Porch Looking In,22,74,23,40.95454545454545
Let's Be Us Again,Let's Be Us Again,20,93,38,58.55
Mr. Mom,Mr. Mom,20,74,33,54.9
Rock The Night,Rock The Night,13,98,30,54.84615384615385
Stand!,Stand!,0,,,
Everyday People,Everyday People,29,105,1,37.3448275862069
I Want To Take You Higher,I Want To Take You Higher,35,110,34,56.285714285714285
Only One Love In My Life,Only One Love In My Life,6,95,63,76.16666666666667
I Wouldn't Have Missed It For The World,I Wouldn't Have Missed It For The World,17,92,20,42.411764705882355
Any Day Now,Any Day Now,33,102,14,50.21212121212121
He Got You,He Got You,7,95,59,74.0
Yee Haw,Yee Haw,7,99,83,90.71428571428571
Eight Second Ride,Eight Second Ride,13,95,70,80.3076923076923
Entourage,Entourage,5,96,78,84.2
Smilin',Smilin',7,79,42,55.142857142857146
Change Of Heart,Change Of Heart,52,102,3,42.86538461538461
I Drove All Night,I Drove All Night,28,100,6,46.75
The Goonies `R  Good Enough,The Goonies `R  Good Enough,0,,,
Hey Now,Hey Now,15,99,76,89.93333333333334
Straight To Your Heart,Straight To Your Heart,13,94,42,60.46153846153846
Personally,Personally,19,101,19,43.0
Part Of The Plan,Part Of The Plan,9,88,31,54.55555555555556
I Go Crazy,I Go Crazy,40,99,7,37.85
I Wish I Had A Girl,I Wish I Had A Girl,18,94,20,50.44444444444444
I Will Be In Love With You,I Will Be In Love With You,14,89,30,52.714285714285715
The Devil Went Down To Georgia,The Devil Went Down To Georgia,18,97,3,32.611111111111114
Stereotomy,Stereotomy,4,94,82,86.75
Do You Wanna Hold Me?,Do You Wanna Hold Me?,0,,,
Frisky,Frisky,0,,,
When It's Over,When It's Over,37,95,13,38.45945945945946
Get Me Bodied,Get Me Bodied,19,98,46,81.05263157894737
Tengo Un Amor,Tengo Un Amor,1,100,100,100.0
Change Me,Change Me,2,94,59,76.5
Take Me Home Tonight,Take Me Home Tonight,23,92,4,40.52173913043478
Big Crash,Big Crash,0,,,
Running Back,Running Back,10,100,78,87.1
Let's Be Lovers Again,Let's Be Lovers Again,6,96,65,74.5
Endless Nights,Endless Nights,19,94,21,52.05263157894737
Club Michelle,Club Michelle,7,100,66,79.85714285714286
Let Me In,Let Me In,49,95,4,49.48979591836735
Love Is Alright Tonite,Love Is Alright Tonite,16,94,20,45.5
Don't Talk To Strangers,Don't Talk To Strangers,29,97,2,37.03448275862069
What Kind Of Fool Am I,What Kind Of Fool Am I,47,131,17,67.25531914893617
I Get Excited,I Get Excited,12,98,32,55.916666666666664
Human Touch,Human Touch,15,91,18,38.333333333333336
Affair Of The Heart,Affair Of The Heart,18,100,9,34.666666666666664
Love Somebody,Love Somebody,58,93,5,19.913793103448278
State Of the Heart,State Of the Heart,0,,,
Only The Young,Only The Young,16,94,9,37.375
Faithfully,Faithfully,19,122,12,42.89473684210526
I'll Be Alright Without You,I'll Be Alright Without You,21,90,14,45.42857142857143
Separate Ways,Separate Ways,0,,,
Queen Of The Broken Hearts,Queen Of The Broken Hearts,12,93,34,55.333333333333336
Lead A Double Life,Lead A Double Life,7,96,68,79.85714285714286
The Riddle,The Riddle,18,96,40,66.72222222222223
Bad Reputation,Bad Reputation,12,96,54,75.58333333333333
Sneakin' Up Behind You,Sneakin' Up Behind You,9,99,58,79.66666666666667
Flaming Star,Flaming Star,7,85,14,34.57142857142857
Wild In The Country/I Feel So Bad,Wild In The Country/I Feel So Bad,0,,,
Save Room,Save Room,6,99,61,86.16666666666667
Ain't No Other Man,Ain't No Other Man,20,53,6,18.4
Why Can t This Night Go On Forever,Why Can t This Night Go On Forever,0,,,
I've Done Everything For You,I've Done Everything For You,22,98,8,39.5
Feels Just Like It Should,Feels Just Like It Should,3,91,80,87.0
Last Of The Singing Cowboys,Last Of The Singing Cowboys,8,96,42,63.0
It Takes Time,It Takes Time,3,89,79,82.33333333333333
Breakdown Dead Ahead,Breakdown Dead Ahead,16,95,14,32.375
Look What You've Done To Me,Look What You've Done To Me,17,94,14,39.23529411764706
Lido Shuffle,Lido Shuffle,17,98,11,34.94117647058823
Heart Of Mine,Heart Of Mine,15,105,35,61.4
Good Luck Charm,Good Luck Charm,30,109,1,59.9
DJ Play A Love Song,DJ Play A Love Song,14,94,45,66.0
Money,Money,99,100,13,50.121212121212125
Beer In Mexico,Beer In Mexico,17,98,61,77.6470588235294
How Forever Feels,How Forever Feels,21,80,27,44.61904761904762
The Witch Queen Of New Orleans,The Witch Queen Of New Orleans,17,99,21,45.8235294117647
This Man Is Mine,This Man Is Mine,13,98,33,53.46153846153846
Goody Two Shoes,Goody Two Shoes,21,95,12,37.333333333333336
Yesterday's Hero,Yesterday's Hero,23,110,42,71.30434782608695
Swear It Again,Swear It Again,20,96,20,43.35
A Little Less Conversation,A Little Less Conversation,15,102,50,70.0
Your Baby's Gone Surfin',Your Baby's Gone Surfin',0,,,
"Lonely Boy, Lonely Guitar","Lonely Boy, Lonely Guitar",0,,,
Hero/Heroine,Hero/Heroine,0,,,
'65 Love Affair,'65 Love Affair,20,100,6,36.0
Der Kommissar,Der Kommissar,21,100,5,32.80952380952381
Playground In My Mind,Playground In My Mind,23,83,2,31.0
Life Is A Rock,Life Is A Rock,15,90,8,37.46666666666667
Magnet And Steel,Magnet And Steel,22,93,8,41.27272727272727
You're Only Lonely,You're Only Lonely,3,86,62,74.66666666666667
Do You Know,Do You Know,28,48,7,21.678571428571427
Show Me The Money,Show Me The Money,5,88,58,76.0
A Fool Such As I,A Fool Such As I,23,95,2,39.04347826086956
Let Me Make Love To You,Let Me Make Love To You,3,87,75,79.0
Do You Want To,Do You Want To,4,100,76,85.25
N-E-R-V-O-U-S!,N-E-R-V-O-U-S!,0,,,
JoJo,JoJo,0,,,
George Jackson,George Jackson,8,93,33,49.625
"My Love, Forgive Me","My Love, Forgive Me",0,,,
Strung Out,Strung Out,13,100,40,63.46153846153846
Words Get In The Way,Words Get In The Way,24,91,5,40.75
Always Tomorrow,Always Tomorrow,6,97,81,89.5
The Christmas Shoes,The Christmas Shoes,2,68,42,55.0
Blessed,Blessed,40,87,31,50.425
Falling In Love Again,Falling In Love Again,8,93,64,74.375
Just Got Started Lovin' You,Just Got Started Lovin' You,0,,,
Nann,Nann,16,99,62,75.6875
The Men In My Little Girl's Life,The Men In My Little Girl's Life,9,80,6,26.333333333333332
What You Won't Do For Love,What You Won't Do For Love,31,99,9,52.58064516129032
Method Of Modern Love,Method Of Modern Love,19,99,5,39.526315789473685
Shining Star,Shining Star,45,96,1,34.355555555555554
Saturday Nite,Saturday Nite,0,,,
Livin' In The Light,Livin' In The Light,10,98,53,73.2
Jump,Jump,86,107,1,39.83720930232558
United Together,United Together,9,101,56,73.77777777777777
Get It Right,Get It Right,10,93,16,68.4
Another Night,Another Night,73,121,3,35.013698630136986
Jimmy Lee,Jimmy Lee,13,100,28,54.69230769230769
The Star-Spangled Banner,The Star-Spangled Banner,5,89,50,62.4
Hey! Baby,Hey! Baby,0,,,
My World Is Empty Without You,My World Is Empty Without You,13,112,5,37.30769230769231
Susie-Q,Susie-Q,0,,,
"The Cover Of ""Rolling Stone""","The Cover Of ""Rolling Stone""",0,,,
Marley Purt Drive,Marley Purt Drive,6,105,70,87.16666666666667
Hitchcock Railway,Hitchcock Railway,3,82,77,80.33333333333333
Destiny,Destiny,13,95,47,66.07692307692308
It Would Take A Strong Strong Man,It Would Take A Strong Strong Man,16,89,10,35.8125
Hopelessly,Hopelessly,20,84,28,51.9
Cherokee,Cherokee,10,99,72,85.6
Superstitious,Superstitious,13,95,31,55.46153846153846
Fastlove,Fastlove,23,100,8,46.47826086956522
If You Let Me Stay,If You Let Me Stay,8,96,68,80.25
Can You Feel It,Can You Feel It,12,123,75,85.66666666666667
And I Am Telling You I'm Not Going,And I Am Telling You I'm Not Going,14,98,60,81.5
Stingy,Stingy,20,80,33,47.85
You Owe Me,You Owe Me,16,96,59,73.25
The Best Man I Can Be,The Best Man I Can Be,6,97,83,90.5
Promise,Promise,64,100,9,49.90625
Let's Get Married,Let's Get Married,35,87,11,37.457142857142856
Walked Outta Heaven,Walked Outta Heaven,27,76,6,23.85185185185185
He Can't Love U,He Can't Love U,20,77,15,34.8
Gotta Be,Gotta Be,16,99,23,60.8125
Doing Too Much,Doing Too Much,16,99,41,58.5625
Goodies,Goodies,38,94,1,21.342105263157894
You've Made Me So Very Happy,You've Made Me So Very Happy,31,118,2,57.096774193548384
I Left My Heart In San Francisco,I Left My Heart In San Francisco,28,121,19,62.535714285714285
The Ghetto,The Ghetto,27,115,42,80.11111111111111
Cocktales,Cocktales,9,99,69,83.33333333333333
Gettin' It,Gettin' It,10,95,68,78.1
I'm Sprung,I'm Sprung,26,100,8,32.11538461538461
Over It,Over It,16,92,29,52.625
